iter	Passed	Remaining
0	21	4239
1	41	4101
2	64	4255
3	76	3763
4	99	3877
5	121	3924
6	132	3657
7	144	3475
8	163	3475
9	183	3489
10	204	3505
11	222	3481
12	243	3499
13	259	3445
14	279	3446
15	298	3435
16	319	3441
17	340	3438
18	358	3418
19	380	3421
20	398	3394
21	416	3368
22	437	3366
23	458	3359
24	480	3366
25	504	3373
26	524	3358
27	544	3342
28	562	3315
29	582	3300
30	599	3266
31	617	3242
32	639	3237
33	652	3183
34	669	3157
35	691	3151
36	710	3132
37	728	3106
38	749	3093
39	768	3074
40	786	3048
41	804	3026
42	822	3002
43	840	2978
44	856	2950
45	874	2927
46	891	2903
47	909	2879
48	928	2860
49	946	2839
50	961	2807
51	971	2764
52	989	2744
53	1008	2727
54	1025	2704
55	1036	2665
56	1054	2646
57	1071	2623
58	1086	2597
59	1102	2572
60	1120	2553
61	1139	2536
62	1158	2518
63	1177	2501
64	1194	2481
65	1212	2461
66	1230	2441
67	1248	2422
68	1265	2402
69	1283	2383
70	1299	2360
71	1307	2325
72	1326	2307
73	1334	2271
74	1351	2252
75	1368	2233
76	1379	2203
77	1397	2186
78	1416	2168
79	1424	2137
80	1441	2117
81	1460	2101
82	1479	2086
83	1488	2056
84	1509	2041
85	1527	2025
86	1537	1996
87	1555	1979
88	1575	1965
89	1596	1951
90	1618	1938
91	1638	1923
92	1657	1907
93	1677	1892
94	1696	1874
95	1714	1857
96	1735	1842
97	1754	1825
98	1773	1809
99	1793	1793
100	1813	1778
101	1833	1761
102	1852	1744
103	1872	1728
104	1891	1711
105	1914	1697
106	1934	1681
107	1952	1663
108	1968	1643
109	1987	1626
110	2007	1609
111	2029	1594
112	2047	1576
113	2062	1555
114	2083	1539
115	2102	1522
116	2121	1505
117	2130	1480
118	2149	1463
119	2168	1445
120	2184	1425
121	2200	1406
122	2217	1387
123	2234	1369
124	2254	1352
125	2268	1332
126	2286	1314
127	2300	1294
128	2322	1278
129	2343	1261
130	2362	1244
131	2382	1227
132	2402	1210
133	2411	1187
134	2427	1169
135	2448	1152
136	2467	1134
137	2490	1119
138	2517	1104
139	2541	1089
140	2563	1072
141	2587	1056
142	2609	1040
143	2631	1023
144	2652	1006
145	2674	989
146	2694	971
147	2719	955
148	2739	937
149	2757	919
150	2775	900
151	2797	883
152	2816	865
153	2835	847
154	2853	828
155	2873	810
156	2893	792
157	2907	772
158	2926	754
159	2944	736
160	2963	717
161	2979	698
162	2997	680
163	3017	662
164	3035	643
165	3051	624
166	3067	606
167	3086	587
168	3095	567
169	3114	549
170	3132	531
171	3150	512
172	3169	494
173	3186	476
174	3204	457
175	3223	439
176	3243	421
177	3258	402
178	3276	384
179	3295	366
180	3314	347
181	3333	329
182	3353	311
183	3370	293
184	3391	274
185	3409	256
186	3430	238
187	3449	220
188	3468	201
189	3486	183
190	3503	165
191	3524	146
192	3543	128
193	3560	110
194	3578	91
195	3597	73
196	3613	55
197	3633	36
198	3651	18
199	3671	0
